Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,dishcatid ,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Unit Price ($),Item Weight (lbs),Item Weight (tons),Primary Material,,,,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link,,,,,,,,,
122,Y,Beverages,Cup,12 oz SAN Plastic Cup ,8,SAN Plastic,12 oz,12,1.55,Corrugated Cardboard,12.5%,0.19,1.36,$4.48,$0.37,0.1130,0.0001,SAN Plastic,,,,,,0.1130,,Choice ,,https://www.webstaurantstore.com/choice-12-oz-clear-san-plastic-pebbled-tumbler-pack/17612STPEBCL.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7wZjWdCMnAv8suFcX0xEnFRzw6EXJmOJ3Wu4OogxGsKMA4Lx4CecLwaAkkoEALw_wcB,,,,,,,,,
123,Y,Beverages,Cup,16 oz SAN Plastic Cup ,8,SAN Plastic,16 oz,24,7.8,Corrugated Cardboard,12.5%,0.98,6.83,$31.04,$1.29,0.2844,0.0001,SAN Plastic,,,,,,0.2844,,Choice ,,https://www.webstaurantstore.com/choice-16-oz-san-stackable-plastic-mixing-pint-glass-case/176BWSBEVG16.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7x9OvNAqkFfoo7rsfQSShgCrlSt0vnDBa0G7meAEz_EOTklm9tOEwwaAq28EALw_wcB,,,,,,,,,
124,Y,Utensils,Fork,Stainless Steel Fork,12,Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$3.33,$0.05,0.0703,0.0000,Stainless Steel ,,,,,,0.0703,,"Guangdong Hongzhixing Industry Co., Ltd.",,https://www.alibaba.com/product-detail/4pcs-Stainless-Steel-Cutlery-Set-Dishwasher_1601001146391.html?spm=a2700.galleryofferlist.p_offer.d_title.7ff713a05Iacyz&s=p,,,,,,,,,
125,Y,Utensils,Spoon,Stainless Steel Spoon ,12,Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$3.33,$0.05,0.0703,0.0000,Stainless Steel ,,,,,,0.0703,,"Guangdong Hongzhixing Industry Co., Ltd.",,https://www.alibaba.com/product-detail/4pcs-Stainless-Steel-Cutlery-Set-Dishwasher_1601001146391.html?spm=a2700.galleryofferlist.p_offer.d_title.7ff713a05Iacyz&s=p,,,,,,,,,
126,Y,Utensils,Knife,Stainless Steel Knife ,12,Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$3.33,$0.05,0.0703,0.0000,Stainless Steel ,,,,,,0.0703,,"Guangdong Hongzhixing Industry Co., Ltd.",,https://www.alibaba.com/product-detail/4pcs-Stainless-Steel-Cutlery-Set-Dishwasher_1601001146391.html?spm=a2700.galleryofferlist.p_offer.d_title.7ff713a05Iacyz&s=p,,,,,,,,,
127,Y,Utensils,Fork,Recycled Stainless Steel Fork,12,Recycled Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$70.00,$1.00,0.0703,0.0000,Recycled Stainless Steel ,,,,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/commercial-forks,,,,,,,,,
128,Y,Utensils,Spoon,Recycled Stainless Steel Spoon ,12,Recycled Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$70.00,$1.00,0.0703,0.0000,Recycled Stainless Steel ,,,,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/commercial-spoons,,,,,,,,,
129,Y,Utensils,Knife,Recycled Stainless Steel Knife ,12,Recycled Stainless Steel ,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$105.00,$1.50,0.0703,0.0000,Recycled Stainless Steel ,,,,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/knives,,,,,,,,,
130,Y,Utensils,Fork,Durable PP Fork,12,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,$0.42,0.0269,0.0000,Plastic (#5 PP),,,,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1,https://www.webstaurantstore.com/design-specialties-al-142-6-almond-polycarbonate-teaspoon-pack/205AL142.html,,,,,,,,
131,Y,Utensils,Spoon,Durable PP Spoon ,12,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,$0.42,0.0269,0.0000,Plastic (#5 PP),,,,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1,,,,,,,,,
