Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Item Weight (lbs),Primary Material,"MTCO2eq per 1.0 pounds reduced",EF,CO2eq per item (lb),Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
110,Y,Beverages,Cup,12 oz Stainless Steel Cup,Stainless Steel,12 oz,1,0.236,Corrugated Cardboard,12.5%,0.03,0.21,$21.99,0.2065,Stainless Steel,0.00175540,3.87,0.7992,,,0.2065,,Vollrath,,https://www.webstaurantstore.com/vollrath-68520-12-oz-stainless-steel-tumbler/92268520.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiA98WrBhAYEiwA2WvhOgiTvo2hOzSTsWqv7mR1BjsHCideg60_Vc8W1eIS14o7_DRbvf9jgxoCvUIQAvD_BwE
111,Y,Beverages,Cup,16 oz Stainless Steel Cup,Stainless Steel,16 oz,1,0.354,Corrugated Cardboard,12.5%,0.04,0.31,$38.99,0.3098,Stainless Steel,0.00175540,3.87,1.1987,,,0.3098,,SMLIXE,,https://www.amazon.com/SMLIXE-Stainless-Unbreakable-Stackable-Drinking/dp/B08Z3FB4M3/ref=sr_1_1_sspa?crid=2INH3XDJV8BBZ&keywords=stainless%2Bsteel%2Bcup&qid=1699844328&sprefix=stainless%2Bsteel%2Bcup%2Caps%2C182&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
112,Y,Beverages,Cup,8 oz Aluminum Cup,Aluminum,8 oz,50,1.662,Corrugated Cardboard,12.5%,0.21,1.45,$19.50,0.0291,Aluminum,0.00645008,14.22,0.4136,,,0.0291,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
113,Y,Beverages,Cup,12 oz Aluminum Cup,Aluminum,12 oz,450,16.36,Corrugated Cardboard,12.5%,2.05,14.32,$209.99,0.0318,Aluminum,0.00645008,14.22,0.4524,,,0.0318,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
114,Y,Beverages,Cup,16 oz Aluminum Cup,Aluminum,16 oz,600,108.34,Corrugated Cardboard,12.5%,13.54,94.80,$269.99,0.1580,Aluminum,0.00645008,14.22,2.2467,,,0.1580,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
115,Y,Beverages,Cup,8 oz Recycled Aluminum Cup,Recycled Aluminum,8 oz,50,1.662,Corrugated Cardboard,12.5%,0.21,1.45,$19.50,0.0291,Aluminum,0.00269207,5.935,0.1726,,,0.0291,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
116,Y,Beverages,Cup,12 oz Recycled Aluminum Cup,Recycled Aluminum,12 oz,450,16.36,Corrugated Cardboard,12.5%,2.05,14.32,$209.99,0.0318,Aluminum,0.00269207,5.935,0.1888,,,0.0318,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
117,Y,Beverages,Cup,16 oz Recycled Aluminum Cup,Recycled Aluminum,16 oz,600,108.34,Corrugated Cardboard,12.5%,13.54,94.80,$269.99,0.1580,Aluminum,0.00269207,5.935,0.9377,,,0.1580,,Ball,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1
118,Y,Beverages,Cup,8 oz Polypropylene Cup,Plastic (#5 PP),8 oz,48,4.95,Corrugated Cardboard,12.5%,0.62,4.33,$41.99,0.0902,Plastic (#5 PP),0.00100697,2.22,0.2003,,,0.0902,,Meanplan,,https://www.amazon.com/Restaurant-Resistant-Drinking-Stackable-Shatterproof/dp/B09VZ4JC9X/ref=sr_1_1?crid=VBZMSN301QU6&keywords=8%2Boz%2Breusable%2Bplastic%2Bcups&qid=1702010085&sprefix=oz%2Breusable%2Bplastic%2Bcups%2Caps%2C485&sr=8-1&th=1
119,Y,Beverages,Cup,12 oz Polypropylene Cup,Plastic (#5 PP),12 oz,24,4.95,Corrugated Cardboard,12.5%,0.62,4.33,$33.19,0.1805,Plastic (#5 PP),0.00100697,2.22,0.4006,,,0.1805,,Avant Grub,,https://www.amazon.com/Restaurant-Resistant-Stackable-Shatterproof-Tumblers/dp/B082J3PPCX/ref=sr_1_1?crid=2WG3SYDYRU3R7&keywords=12%2Boz%2Breusable%2Bplastic%2Bcups&qid=1702010264&sprefix=8%2Boz%2Breusable%2Bplastic%2Bcups%2Caps%2C279&sr=8-1&th=1
